信息ID,岗位链接,搜索岗位名,岗位名称,企业名称,薪资区间,工作地点,工作经验,学历要求,岗位介绍,其他待遇,企业经营范围
296,"https://www.liepin.com/job/1958696061.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=8&d_pageSize=40&d_headId=null&d_posi=26&skId=s1ecqn8rn1y7yyihljsb3zyj3x4ofb38&fkId=s1ecqn8rn1y7yyihljsb3zyj3x4ofb38&ckId=2ikr559rrp2r8a3jv5tvofkar0w69a2a&sfrom=search_job_pc&curPage=8&pageSize=40&index=26
",Java开发,中级Java开发工程师,成都赢瑞科技有限公司,10-15k,成都-青羊区,3-5年,本科,"岗位职责： 1、参与项目的需求分析、概要设计、详细设计，技术文档的编写； 2、按产品需求进行软件设计和编码实现，确保安全、质量和性能； 3、参与内部测试、部署等工作，分析并解决软件开发过程中的问题 。
岗位要求： 1. 计算机或相关专业本科及以上学历，JAVA开发3年以上工作经验，愿意从事java桌面开发及相关技术方向（eclipse开源技术栈）； 2. 编程语言要求：扎实的java/操作系统/网络基础，熟悉常用的数据结构，熟悉java服务端开发相关技术栈 3. 框架要求：熟悉maven/gradle等工程管理框架；熟悉常见数据库的任意一种（pg/mysql等） 4. 应用经验：熟悉UML建模并有相关实践经验，熟悉Linux操作系统 5. 有eclipse相关技术栈开发经验、sysml使用经验、大中型产品开发经验者优先。", 年终奖金 五险一金 发展空间大 岗位晋升 弹性工作 定期体检,一般项目：软件开发；人工智能基础软件开发；人工智能应用软件开发；网络与信息安全软件开发；人工智能理论与算法软件开发；计算机系统服务；工业控制计算机及系统销售；计算机软硬件及辅助设备零售；工业互联网数据服务；信息技术咨询服务；仪器仪表销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；信息系统集成服务；人工智能行业应用系统集成服务（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。
297,"https://www.liepin.com/job/1938200715.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=8&d_pageSize=40&d_headId=null&d_posi=27&skId=s1ecqn8rn1y7yyihljsb3zyj3x4ofb38&fkId=s1ecqn8rn1y7yyihljsb3zyj3x4ofb38&ckId=2ikr559rrp2r8a3jv5tvofkar0w69a2a&sfrom=search_job_pc&curPage=8&pageSize=40&index=27
",Java开发,JAVA开发 （东莞办公）,中软国际科技,10-30k,南昌-新建区,3-5年,统招本科,"项目介绍：移动支付项目

职位描述：
负责系统/模块框架的开发、对系统的开发质量负责。
1、2年以上java开发经验，熟练使用常见的java设计模式，熟悉git/svn等代码管理工具；
2、熟练掌握主流java开发框架Spring, Struts2, mybatis及Maven构建工具开发，熟悉Springboot\SpringCloud技术栈优先；
3、熟悉Linux系统及shell或python命令;
4、熟悉Oracle/MySql等主流数据库；
5、熟悉分布式服务框架、消息中间件、缓存框架、redis等技术； 
6、熟悉netty、axis2、jexl、apache commons等常用的开源技术;
7、具有Docker和Kubernetes相关的DevOps工作相关工作优先 ;
8、有大型高并发系统性能优化、可靠性、稳定性开发和设计等相关经验。
9、有支付类金融软件开发经验优先", 岗位晋升 五险一金 团队聚餐 公司规模大 领导好,一般项目：软件开发；软件外包服务；网络技术服务；计算机系统服务；非居住房地产租赁；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；信息系统集成服务；信息技术咨询服务。(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)许可项目：货物进出口；技术进出口；呼叫中心。(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准)
298,"https://www.liepin.com/job/1941071295.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=8&d_pageSize=40&d_headId=null&d_posi=28&skId=s1ecqn8rn1y7yyihljsb3zyj3x4ofb38&fkId=s1ecqn8rn1y7yyihljsb3zyj3x4ofb38&ckId=2ikr559rrp2r8a3jv5tvofkar0w69a2a&sfrom=search_job_pc&curPage=8&pageSize=40&index=28
",Java开发,java开发工程师,江苏金代码信息科技有限公司,15-30k,上海-虹口区,3-5年,本科,"岗位职责：
1.完成软件系统代码的实现，编写代码注释和开发文档。
2.辅助进行系统的功能定义，程序设计。
3.根据设计文档或需求说明完成代码编写. 调试. 测试和维护。
4.分析并解决软件开发过程中的问题。
5.协助测试工程师制定测试计划. 定位发现的问题。
6.配合项目经理完成相关任务目标。
任职要求：
1.3年以上java开发经验
2.熟悉常用框架，如Struts,SpringMVC,iBATIS,Hibernate，有上述技术的实际开发经验
3.熟练掌握Socket.WebService.Http等接口开发技术，或具有丰富的Web开发经验,熟练掌握XML.Javascript（Jquery）.AJAX.Json技术;
4.能够熟练使用git.maven.Eclipse.PowerDesign等工具，熟练掌握Oracle或MySQL等数据库，以及数据库优化方案。
5.熟练掌握Linux，可以在linux环境下完成问题排查.定位；
6.具有较好的文档编写能力
7.有很强的学习能力，工作主动性强，耐心细致，责任心强；能承受一定压力，有良好的沟通协调能力与团队合作精神；
8.使用过dubbo框架,了解Zookeeper的安解，配置，有过分布式应用开发经验优先岗位职责：
1.完成软件系统代码的实现，编写代码注释和开发文档。
2.辅助进行系统的功能定义，程序设计。
3.根据设计文档或需求说明完成代码编写. 调试. 测试和维护。
4.分析并解决软件开发过程中的问题。
5.协助测试工程师制定测试计划. 定位发现的问题。
6.配合项目经理完成相关任务目标。
任职要求：
1.3年以上java开发经验
2.熟悉常用框架，如Struts,SpringMVC,iBATIS,Hibernate，有上述技术的实际开发经验
3.熟练掌握Socket.WebService.Http等接口开发技术，或具有丰富的Web开发经验,熟练掌握XML.Javascript（Jquery）.AJAX.Json技术;
4.能够熟练使用git.maven.Eclipse.PowerDesign等工具，熟练掌握Oracle或MySQL等数据库，以及数据库优化方案。
5.熟练掌握Linux，可以在linux环境下完成问题排查.定位；
6.具有较好的文档编写能力
7.有很强的学习能力，工作主动性强，耐心细致，责任心强；能承受一定压力，有良好的沟通协调能力与团队合作精神；
8.使用过dubbo框架,了解Zookeeper的安解，配置，有过分布式应用开发经验优先", 五险一金 领导好 发展空间大 扁平管理 管理规范 技能培训 岗位晋升 带薪年假 节日礼物 定期体检,一般项目：软件开发；计算机系统服务；信息咨询服务（不含许可类信息咨询服务）；计算机软硬件及辅助设备批发；信息系统集成服务；通讯设备销售；仪器仪表销售；教学专用仪器销售；安防设备销售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
299,"https://www.liepin.com/job/1940528921.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=8&d_pageSize=40&d_headId=null&d_posi=29&skId=s1ecqn8rn1y7yyihljsb3zyj3x4ofb38&fkId=s1ecqn8rn1y7yyihljsb3zyj3x4ofb38&ckId=2ikr559rrp2r8a3jv5tvofkar0w69a2a&sfrom=search_job_pc&curPage=8&pageSize=40&index=29
",Java开发,高级java开发工程师,河南智诚数字科技有限公司,10-15k,郑州,3-5年,大专,"1.参与产品需求设计讨论
2.负责产品代码设计与代码编写
3.负责制定开发计划与测试协作保障产品开发过程质量
4.协助解决线上客户紧急问题和技术难题
任职资格：
1.本科及以上学历，计算机相关专业，技能优异者可放宽
2.有Java开发工作经验，熟悉常见的Java设计模式，了解web前端开发
3.熟练使用各种常见数据库，特别是Oracle数据库，
4.有财务软件产品的开发经验着优先
5.1年以上Java开发工作经验，精通java/了解常用的开源框架", 年度旅游 节日礼物 五险一金 团队聚餐 生育补贴,大数据处理、云计算的技术开发、技术咨询、技术服务；计算机软硬件的技术开发、技术咨询、技术服务、技术转让；计算机维修；计算机软硬件及辅助设备、网络设备、电子产品的销售；计算机系统集成（涉密集成除外）；网络工程；企业管理咨询。
300,"https://www.liepin.com/job/1940507673.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=8&d_pageSize=40&d_headId=null&d_posi=30&skId=s1ecqn8rn1y7yyihljsb3zyj3x4ofb38&fkId=s1ecqn8rn1y7yyihljsb3zyj3x4ofb38&ckId=2ikr559rrp2r8a3jv5tvofkar0w69a2a&sfrom=search_job_pc&curPage=8&pageSize=40&index=30
",Java开发,JAVA 开发工程师,浙江大学明州医院(分支机构),7-12k·13薪,宁波,3-5年,本科,"职责描述：

1、参与项目系统需求调研，收集、整理项目前期的系统资料； 

2、根据要求负责系统的设计和项目开发；

3、根据开发进度和任务分配，能独立处理和解决所负责的任务；  

4、进行程序单元、功能的测试，查出软件存在的缺陷并保证其质量；

5、参与编写技术文档，参与客户培训，实施培训；

6、维护软件使之保持可用性和稳定性。

任职要求：

1、本科以上学历，计算机相关专业；

2、至少三年以上系统设计和开发经验；

3、精通JAVA开发，并熟练使用spring boot/spring cloud/mybatis/redis/mq 等常用java开发技术；

4、精通 SQL语言，精通相关数据库操作（Oracle、Mysql）

5、了解H5开发，了解前端Vue框架、React框架

6、熟悉git、svn版本控制工具

7、医疗行业背景优先", 带薪年假 午餐补助 发展空间大 全勤奖 公司规模大 500强 管理规范 节日礼物,根据2018年9月21日宁波市鄞州区卫生和计划生育局核发的登记号为PDY60197433021216A1001的诊疗科目经营；会议服务；停车场服务；美容服务；验光配镜服务；健康管理咨询；食品经营；母婴护理（不含医疗诊治服务）；婴幼儿洗浴服务；日用百货、母婴用品的销售；以及其他按法律、法规、国务院决定等规定未禁止或无需经营许可的项目和未列入地方产业发展负面清单的项目。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
301,"https://www.liepin.com/job/1946796833.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=8&d_pageSize=40&d_headId=null&d_posi=31&skId=s1ecqn8rn1y7yyihljsb3zyj3x4ofb38&fkId=s1ecqn8rn1y7yyihljsb3zyj3x4ofb38&ckId=2ikr559rrp2r8a3jv5tvofkar0w69a2a&sfrom=search_job_pc&curPage=8&pageSize=40&index=31
",Java开发,java开发,合肥市数智城市投资运营有限公司,13-15k,合肥-蜀山区,1-3年,本科,"职责描述：
1、负责软件产品研发，优化；
2、理解业务，分析需求，推动需求的完善和快速落地；
3、参与软件的架构搭建和实现，负责关键代码的编写和评审；
4、参与产品开发重点、难点的技术攻关；
5、负责软件开发标准文档的撰写和维护；
任职要求：
1.35周岁以下；
2.本科及以上学历，计算机或相关专业；
3.有3年及以上的开发经验，熟练掌握java开发；
4.语言基础知识扎实，有模块化组件开发思想，熟悉常用设计模式、主流的java开发框架如spring,springboot，springcloud,mybatisplus等；
5.熟练使用常用的关系型数据库，如sqlserver、Mysql等，nosql数据库如es，redis等；
6.具有多线程、分布式、高并发、高负载、高可用性、系统调优等相关经验者优先；
7.有城市大脑、社区综合治理、市政采购平台等相关项目工作经验的优先；
8.思路清晰，思维敏捷，快速的学习能力;善于与他人沟通协作，有强烈的上进心和求知欲。",,一般项目：以自有资金从事投资活动；安防设备销售；计算机软硬件及辅助设备零售；大数据服务；软件开发；计算机系统服务；信息系统集成服务；网络技术服务；数据处理和存储支持服务；信息技术咨询服务；信息系统运行维护服务；数据处理服务；互联网数据服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；工业互联网数据服务；信息咨询服务（不含许可类信息咨询服务）；人工智能公共数据平台；人工智能应用软件开发；网络与信息安全软件开发；人工智能理论与算法软件开发；物联网技术服务；互联网安全服务；云计算装备技术服务；人工智能双创服务平台；园区管理服务；会议及展览服务（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）
302,"https://www.liepin.com/job/1951258245.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=8&d_pageSize=40&d_headId=null&d_posi=32&skId=s1ecqn8rn1y7yyihljsb3zyj3x4ofb38&fkId=s1ecqn8rn1y7yyihljsb3zyj3x4ofb38&ckId=2ikr559rrp2r8a3jv5tvofkar0w69a2a&sfrom=search_job_pc&curPage=8&pageSize=40&index=32
",Java开发,中级java开发工程师,云之巅,10-13k·13薪,厦门-思明区,3-5年,大专,"职责描述：
1、 服从上级工作安排，做好工作；
2、 参与项目系统需求分析、设计等过程；
3、 承担设计、开发任务，按计划完成任务目标；
4、 配合前端开发人员的工作，做好前后端集成；
5、 及时修复系统bug，和测试人员密切合作；
6、 负责编写系统相关技术文档；
任职要求：
1、3年以上JAVA开发经验。
2、熟练掌握Java开发技术。
3、有较好的沟通能力。
4、熟练使用spring框架，及主流中间件redis、rabbitmq等。", 年终奖金 全勤奖 五险一金 交通补助 餐费补贴 加班补贴 弹性工作 带薪年假 团队聚餐 节日礼物,一般项目：信息技术咨询服务；网络技术服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；人力资源服务（不含职业中介活动、劳务派遣服务）；数据处理和存储支持服务；数据处理服务；软件开发；软件外包服务；人工智能基础软件开发；人工智能应用软件开发；人工智能理论与算法软件开发；网络与信息安全软件开发；云计算装备技术服务；互联网销售（除销售需要许可的商品）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：职业中介活动；互联网信息服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）。
303,"https://www.liepin.com/job/1932945599.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=8&d_pageSize=40&d_headId=null&d_posi=33&skId=s1ecqn8rn1y7yyihljsb3zyj3x4ofb38&fkId=s1ecqn8rn1y7yyihljsb3zyj3x4ofb38&ckId=2ikr559rrp2r8a3jv5tvofkar0w69a2a&sfrom=search_job_pc&curPage=8&pageSize=40&index=33
",Java开发,java开发工程师,中科高通量研究院,6-7k,上海-长宁区,3-5年,本科,"岗位职责：
1.负责公司产品的功能规划、需求分析设计、技术实现和用户体验；
2.负责所属模块的代码开发、调试与维护工作；
3.积极响应客户需求并进行开发/定制化开发和交付；
4.参与公司产品的架构优化，性能优化并辅助其他模块进行技术实现；
5.协助并完成其他各类技术开发任务。
职位要求：
1.1-2年java开发经验，具有struts、spring、hibernate、Xdoclet的实际项目开发经验，熟悉J2EE规范,熟悉各种常用设计模式；
2.精通web编程，两年以上使用Java语言进行web开发的经验，熟悉HTML、Javascript,Ajax,CSS,具有能基于webservice开发服务端和客户端的经验；
3.能独立完成Java开发框架的设计和搭建工作；
4.熟悉tomcat服务器和apacheweb服务器；
5.具有数据库设计能力，熟悉oracle和SQLServer的使用和开发，熟悉基于数据库应用开发；
6.具备较强的学历能力和解决问题能力，有较强的协调、沟通能力和团队精神。",,许可项目：第一类增值电信业务；基础电信业务；第二类增值电信业务（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；软件开发；计算机系统服务；数据处理和存储支持服务；计算机软硬件及辅助设备批发；计算机软硬件及辅助设备零售；技术进出口；货物进出口；创业空间服务；企业管理咨询；物业管理；会议及展览服务；数字创意产品展览展示服务；组织文化艺术交流活动；房地产经纪；房地产咨询；市场营销策划；信息咨询服务（不含许可类信息咨询服务）；市场调查（不含涉外调查）；科技中介服务；软件销售；计算机及办公设备维修（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
304,"https://www.liepin.com/job/1923801103.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=8&d_pageSize=40&d_headId=null&d_posi=34&skId=s1ecqn8rn1y7yyihljsb3zyj3x4ofb38&fkId=s1ecqn8rn1y7yyihljsb3zyj3x4ofb38&ckId=2ikr559rrp2r8a3jv5tvofkar0w69a2a&sfrom=search_job_pc&curPage=8&pageSize=40&index=34
",Java开发,java开发工程师,乐元素,18-30k·14薪,北京-海淀区,3-5年,本科,"工作职责：
1. 负责广告/数据系统后台的开发工作
2. 对产品需求进行技术评估和解决方案输出，参与技术方案评审与设计

任职要求：
1. 大学本科或以上学历，计算机或相关专业毕业
2. 具备良好的工程开发能力，精通Java开发，有2年以上Java开发实际工作经验
3. 熟悉 MySQL/MongoDB/PostgreSQL 等数据库的使用和原理，基本功扎实，了解索引原理，熟悉 Redis 等NoSQL使用场景
4. 熟悉Tomcat服务器、Spring、MyBatis等框架的使用
5. 熟悉 Linux 环境，熟练掌握 TCP/IP 协议，熟练掌握 HTTP 协议
6. 善于理解客户需求，并能够将客户需求翻译成技术专业术语", 绩效奖金 带薪年假 定期体检 弹性工作 扁平管理 发展空间大,技术开发、技术推广、技术转让、技术咨询、技术服务；设计、制作、代理、发布广告；组织文化艺术交流活动（不含演出）；承办展览展示活动；投资咨询、企业管理咨询、教育咨询；市场调查；企业策划、设计；销售计算机、软件及辅助设备、通讯器材、电子设备、文化体育用品、玩具、箱包、日用品、工艺品、礼品、服装鞋帽、针纺织品、办公用品、化妆品；电脑动画设计；网页设计；货物进出口、技术进出口；票务代理（机票除外）；信息服务业务（仅限互联网信息服务）不含信息搜索查询服务、信息社区服务、信息即时交互服务和信息保护和加工处理服务（增值电信业务经营许可证有效期至2024年09月18日）； 出版物零售；文艺表演；演出经纪。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
305,"https://www.liepin.com/job/1936595823.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=8&d_pageSize=40&d_headId=null&d_posi=35&skId=s1ecqn8rn1y7yyihljsb3zyj3x4ofb38&fkId=s1ecqn8rn1y7yyihljsb3zyj3x4ofb38&ckId=2ikr559rrp2r8a3jv5tvofkar0w69a2a&sfrom=search_job_pc&curPage=8&pageSize=40&index=35
",Java开发,Java开发工程师（白云区）,广州市迪士普智慧科技有限公司,10-15k,广州-白云区,1-3年,本科,"【职位描述】
1.根据开发进度和任务分配，辅助进行架构设计，实施架构的具体实现；
2.参加部门的软件系统的java开发工作；
3.进行新技术难点攻关，提供合理代码建议；
4.完成部门领导交办的其他合理工作任务。
【任职资格】
1.本科及以上学历 ， 2-3年及以上java开发经验；
2.熟悉arcgis;
3.熟练掌握常用开源技术框架，如：SpringBoot、Mybatis等；熟悉kafka、redis等常用存储以及中间件；
4. 熟悉主流数据库软件，例如Oracle、PostgreSQL、MySql等；
5.熟练掌握一种数据库应用和开发技术；
6. 熟练使用Linux基本命令，熟悉Docke相关技能者优先；
7.熟悉前端：vue、react、js，jquery，html,css等基本知识；
8.有较强的学习能力及分析、解决问题的能力，有良好的工作主动性与责任心；
9.有应用系统开发相关经验优先考虑。", 年终奖金 绩效奖金 五险一金 技能培训 带薪年假 年度旅游 团队聚餐 节日礼物 定期体检 午餐补助,软件开发;信息系统集成服务;计算机房维护服务;信息技术咨询服务;数据处理和存储服务;集成电路设计;数字动漫制作;游戏软件设计制作;地理信息加工处理;计算机批发;计算机零配件批发;软件批发;通讯设备及配套设备批发;通讯终端设备批发;电子产品批发;安全技术防范产品批发;机器人销售;智能机器系统销售;家用视听设备零售;计算机零售;软件零售;安全技术防范产品零售;开关、插座、接线板、电线电缆、绝缘材料零售;
306,"https://www.liepin.com/job/1949873117.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=8&d_pageSize=40&d_headId=null&d_posi=36&skId=s1ecqn8rn1y7yyihljsb3zyj3x4ofb38&fkId=s1ecqn8rn1y7yyihljsb3zyj3x4ofb38&ckId=2ikr559rrp2r8a3jv5tvofkar0w69a2a&sfrom=search_job_pc&curPage=8&pageSize=40&index=36
",Java开发,java开发,法本信息,12-19k,深圳-南山区,经验不限,大专,"职责描述：
1、计算机相关专业毕业, 大专及以上学历； 2、5年以上大型互联网项目java开发经验，精通Java开发及相应工具的使用（Eclipse/IntelliJ IDEA、Maven、Tomcat、SVN等）； 3、熟悉常用设计模式，具有良好的接口设计能力，有代码重构经验尤佳； 4、对OOP有深刻的理解，熟练掌握SpringMvc、Springboot、SpringCloud、dubbo、Mybatis、Quartz等开源框架并了解工作原理； 5、至少熟练掌握一种流行数据库（Oracle/MySQL/PostgreSQL），精通数据库设计，对数据库优化有一定的理解； 6、有丰富高并发、高吞吐、高稳定性系统架构设计与实现经验，对架构重构分析、分布改进有实战经验优先考虑 7、全局掌握架构要素系统灵活性、业务扩展性、性能线性增长、高可用、等级安全性等优先考虑 8、熟练掌握分布式通讯框架（Netty、dubbo等NIO框架）、分布式存储（fastDFS、HDFS等）、分布式缓存（Memcached集群、redis集群）、分布式事务处理方案优先考虑； 9、精通消息中间件，如ActiveMQ、RabbitMQ、Kafka等
任职要求：", 五险一金,一般经营项目是：计算机软硬件、程序编制；互联网软件的技术开发、技术咨询、技术服务、技术转让；硬件嵌入式软件及系统周边的技术研发与系统集成、技术咨询；技术服务进出口；数据处理服务、企业管理服务；翻译咨询、翻译服务。企业管理咨询；市场调查（不含涉外调查）；信息咨询服务（不含许可类信息咨询服务）；接受金融机构委托从事信息技术和流程外包服务（不含金融信息服务）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动），许可经营项目是：增值电信业务。人力资源服务（不含职业中介活动、劳务派遣服务）；劳务派遣服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
307,"https://www.liepin.com/job/1948991177.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=8&d_pageSize=40&d_headId=null&d_posi=37&skId=s1ecqn8rn1y7yyihljsb3zyj3x4ofb38&fkId=s1ecqn8rn1y7yyihljsb3zyj3x4ofb38&ckId=2ikr559rrp2r8a3jv5tvofkar0w69a2a&sfrom=search_job_pc&curPage=8&pageSize=40&index=37
",Java开发,高级Java开发,罗盘,35-35k,北京-海淀区,3-5年,本科,"职责描述：
1、负责公司核心ToB SaaS后端产品研发；
2、参与公司产品的架构设计、需求实现、代码规范、质量控制；
3、参与制定开发流程与规范，并监督执行；
4、能够承担一部分管理工作，能带领团队一起成长更佳。
任职要求：
1、统招计算机软件本科及以上学历；
2、3年以上Java开发经验；
3、具有很强的逻辑思维能力和系统分析设计能力，对云原生架构有深刻的理解和实践经验，具有良好的代码和文档编写习惯；
4、具备扎实的Java开发能力，对面向对象技术有深刻的理解，能够熟练运用多种设计模式；
5、熟悉MySQL数据，熟练编写sql语句，熟悉SQL性能调优；
6、同时熟悉前端技术优先考虑。


", 五险一金 带薪年假 发展空间大 扁平管理 弹性工作,研究、开发计算机软件、电子商务系统；计算机系统集成；电子商务信息技术服务、互联网应用信息技术服务；提供技术服务、技术转让、技术咨询；批发计算机软件及辅助设备、电子产品、通讯设备、针纺织品、五金交电（不含电动自行车）、机械设备；销售安全技术防范产品；技术进出口、货物进出口、代理进出口。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
308,"https://www.liepin.com/job/1952341673.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=8&d_pageSize=40&d_headId=null&d_posi=38&skId=s1ecqn8rn1y7yyihljsb3zyj3x4ofb38&fkId=s1ecqn8rn1y7yyihljsb3zyj3x4ofb38&ckId=2ikr559rrp2r8a3jv5tvofkar0w69a2a&sfrom=search_job_pc&curPage=8&pageSize=40&index=38
",Java开发,JAVA开发,三一集团,15-35k,北京-昌平区,3-5年,统招本科,"职责描述：
1、参与业务需求的分析和设计工作；
2、负责软件功能的设计、编码、测试工作；
3、编写软件开发过程中的相关技术文档

任职要求：
1、 3年以上的Java开发经验，基本功扎实，熟练掌握Java开发框架的使用，熟悉设计模式；
2、 熟练掌握Spring boot,Spring cloud等主流框架，熟悉分布式、缓存、消息机制、数据一致性等常用技术，并合理应用；
3、了解常用中间件：消息队列、定时调度、分布式配置、微服务等；
4、 熟悉MySQL应用开发，了解数据库事务隔离级别、索引、性能调优;
5、 熟悉Linux下的常用命令，能够进行项目部署;
6、 根据公司的业务要求，提出合理的技术解决方案;
7、 能够独立完成系统需求分析和系统设计及相关文档的编写;", 五险一金 年终奖金 股票期权 绩效奖金 带薪年假 节日礼物 定期体检 发展空间大 公司规模大 岗位晋升,以自有合法资产进行高新技术产业、汽车制造业、文化教育业、新能源、互联网业的投资（不得从事股权投资、债权投资、短期性财务性投资及面对特定对象开展受托资产管理等金融业务，不得从事吸收存款、集资收款、受托贷款、发行票据、发放贷款等国家金融监管及财政信用业务）；机械设备及其零部件的研发、制造、销售、租赁、维修和进出口业务；二手设备及其他机器设备的收购、维修、租赁、销售；建筑装饰材料、新型路桥材料、石膏、水泥制品及类似制品、再生建筑材料及新材料的研发、生产、销售、技术推广及转让；建筑物拆除（不含爆破作业）；建筑设计；房屋建筑工程、市政公用工程、城市基础设施、土木工程、铁路、道路、隧道和桥梁工程施工总承包；建筑工业化装备、建筑预制件的研发、制造、销售；建筑大数据平台建设及服务；增速机、电气机械及器材（含防爆型）、电机、变压器、电气传动系统及其相关设备、机电设备、主控、变桨、变流器控制柜及冰冷柜的生产和销售；石油钻采专业设备、智能装备、石油压裂成套设备、石油化工设备生产和销售；软件、技术研究开发及转让；技术、信息、认证咨询服务；房地产开发经营；物业管理；产业及园区开发、经营；企业管理服务；住宿、餐饮服务；演出经纪；网络表演经营活动；经营增值电信业务；第二类增值电信业务中的信息服务业务；广播电视节目制作。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
309,"https://www.liepin.com/job/1944405335.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=8&d_pageSize=40&d_headId=null&d_posi=39&skId=s1ecqn8rn1y7yyihljsb3zyj3x4ofb38&fkId=s1ecqn8rn1y7yyihljsb3zyj3x4ofb38&ckId=2ikr559rrp2r8a3jv5tvofkar0w69a2a&sfrom=search_job_pc&curPage=8&pageSize=40&index=39
",Java开发,java开发工程师,渤海银行股份有限公司,30-55k,北京,经验不限,本科,"Java开发工程师
职责描述：
1.负责项目的需求分析与设计工作，并将业务需求转为技术系统实现；
2.负责应用系统的技术方案设计、功能开发和产品交付工作；
3.负责搭建开发框架、框架核心代码的编写；
4.能够独立完成项目组中相关业务的核心编码，保证开发进度和质量；
5.负责软件质量控制，参与代码评审及性能优化工作，保证系统开发质量；
6.负责完成设计、测试、上线等相关文档的撰写；
7.及时响应并处理线上问题，保障应用系统的的稳定运行。

任职要求：
1.大学本科及以上学历，计算机、软件工程相关专业优先；
2.3年以上Java开发经验，精通Java、JavaScript基础，熟练掌握Java JDK 与J2EE相关技术;
3.熟练运用Spring、SpringMVC、Hibernate(iBaties)、JQuery等主流开发框架；熟悉分布式应用开发架构，熟悉阿里云HSF、Dubbo或SpringCloud开发框架者优先；
4.熟练使用AIX/UNIX/Linux平台；熟悉Oracle/DB2等大型数据库及SQL的应用；熟悉Tomcat/Websphere等应用服务器的操作；熟练掌握Eclipse或同类的开发工具；
5.具有较强的学习能力、沟通能力、问题解决能力、执行",,吸收公众存款；发放短期、中期和长期贷款；办理国内外结算；办理票据承兑与贴现；发行金融证券；代理发行、代理兑付、承销政府债券；买卖政府债券、金融债券；从事同业拆借；买卖、代理买卖外汇；结汇、售汇业务；从事银行卡业务；提供信用证服务及担保；代理收付款项及保险兼业代理；提供保管箱服务；从事衍生产品交易业务；证券投资基金托管、保险资金托管业务；证券投资基金销售业务；经国务院银行业监督管理机构批准的其他业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
310,"https://www.liepin.com/job/1954380159.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=9&d_pageSize=40&d_headId=null&d_posi=0&skId=s1ecqn8rn1y7yyihljsb3zyj3x4ofb38&fkId=s1ecqn8rn1y7yyihljsb3zyj3x4ofb38&ckId=i4amy1iqgefr68zose62sl0fjzy05isa&sfrom=search_job_pc&curPage=9&pageSize=40&index=0
",Java开发,java开发师（日or英口语熟练）,一本(大连)信息技术有限公司,11-14k,大连-甘井子区,5-10年,大专,"5年以上Java开发经验，精通Springboot等Java开发技术；
英语or日语口语熟练，最好证券业务背景；",,信息技术咨询服务、软件开发、软件外包服务；呼叫中心；数据处理和存储服务；互联网信息服务；人力资源服务；人力资源管理咨询；自费出国留学中介服务；职业中介服务；人才中介服务；教育咨询服务；企业形象策划服务；文化艺术咨询；旅游咨询服务；会议及展览服务；社会经济咨询；企业管理咨询；翻译服务；网上贸易代理；货物进出口；技术进出口；国内一般贸易。（依法须经批准的项目，经相关部门批准后方可开展经营活动。）
